Column,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40,Column 41,Column 42,Column 43,Column 44,Column 45,Column 46,Column 47,Column 48,Column 49,Column 50,Column 51,Column 52,Column 53,Column 54,Column 55,Column 56,Column 57,Column 58,Column 59,Column 60,Column 61,Column 62,Column 63,Column 64,Column 65,Column 66,Column 67,Column 68,Column 69,Column 70,Column 71,Column 72,Column 73,Column 74,Column 75,Column 76,Column 77,Column 78,Column 79
1.0,N,AC,1200203.0,CRUZEIRO DO SUL,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher (CEAM) - Brasiléia,Secretaria de Políticas para as Mulheres,6835464306 (fax),creamaltoacre@gmail.com,"Rua José Kairala, nº 42; Referência: Ao lado da Escola José Kairala",Centro,6.9932E7,Sheyvane dos Santos Magalhães,NÃO INFORMADO,"Segunda a sexta-feira, das 8h às 12h e das 14h às 18h.",CONFERIDO,MAIO,CAMILLA PAOLONE,ALTERADO - DADOS,MAIO,2014-05-20T00:00:00Z,NÃO INFORMADO,2006.0,SIM,1.0,NÃO,0.0,NÃO,0.0,NÃO,0.0,NÃO,0.0,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,NÃO,NÃO,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,1.0,SIM,1.0,SIM,1.0,SIM,1.0,SIM,1.0,SIM,"O computador, impressora e copiadora são itens cedidos pela prefeitura.",NÃO,NÃO,SIM,NÃO,SIM,SIM,"Na presente semana, começará reforma do local.",SIM,NÃO INFORMADO,NÃO,SIM,"A casa abrigo que atende a região é de Rio Branco, que fica há 220 km.",SIM,SEM ESPECIFICAÇÃO,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,Vildemar Cabral de Moura/Coordenador,STELLA,2014-06-02T00:00:00Z,
2.0,N,AC,1200203.0,CRUZEIRO DO SUL,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro de Referência Vitória Régia para Mulheres em Situação de Violência do Juruá - Cruzeiro do Sul,Secretaria de Políticas para Mulheres,6833226340 (fax),ceam.czs@outlook.com,"Rua Rui Barbosa, nº 236",Centro,6.998E7,Rosalina de Oliveira Souza,NÃO INFORMADO,"Segunda a sexta-feira, das 8h às 12h e das 14h às 17h.",ALTERADO - DADOS,MAIO,CAMILLA PAOLONE,CONFERIDO,MAIO,2014-05-21T00:00:00Z,2006-08-30T00:00:00Z,2006.0,NÃO,0.0,NÃO,0.0,NÃO,0.0,SIM,1.0,NÃO,0.0,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,SIM,NÃO,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,1.0,SIM,1.0,SIM,1.0,SIM,1.0,NÃO,0.0,SIM,Não possuem acesso à internet.,NÃO,NÃO,NÃO,SIM,SIM,SIM,O local necessita de reformas.,SIM,NÃO INFORMADO,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,Vanderlene Oliveira de Negreiro/Educadora,STELLA,2014-06-02T00:00:00Z,
3.0,N,AC,1200401.0,RIO BRANCO,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro de Referência para Mulheres em Situação de Violência - Casa Rosa Mulher - Rio Branco,Secretaria Adjunta da Mulher,6832245117(fax); 6832235492 ,mulher@riobranco.ac.gov.br,"Rua Novo Andirá, nº 339",Cidade Nova,6.990151E7,Vanessa Martins de Oliveira Mota,NÃO INFORMADO,"Segunda a sexta-feira, das 07h30min às 11h30min e das 13h30min e das 17h30min.",ALTERADO - DADOS,MAIO,CAMILLA PAOLONE,ALTERADO - DADOS,MAIO,2014-05-20T00:00:00Z,NÃO INFORMADO,1994.0,SIM,1.0,SIM,2.0,SIM,1.0,SIM,1.0,SIM,2.0,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,SIM,NÃO,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,3.0,SIM,1.0,SIM,6.0,SIM,2.0,SIM,2.0,NÃO,SEM ESPECIFICAÇÃO,NÃO,NÃO,SIM,NÃO,SIM,SIM,"O local necessita de reforma. Foi enviado um projeto à SPM que inclui os reparos e acessibilidade, porém ainda não houve resposta.",SIM,NÃO INFORMADO,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO,NÃO,Existe um projeto em parceria com a Secretaria de Direitos Humanos que está temporariamente suspenso por falta de recursos.,LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,Vanessa Martins de Oliveira Mota/Coordenadora,STELLA,2014-06-02T00:00:00Z,
4.0,N,AC,1200500.0,SENA MADUREIRA,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento a Mulher (CEAM) - Sena Madureira,Secretaria de Estado de Políticas para Mulheres,6836122476; 6899720844,cram.sena@gmail.com,"Rua Quintino Bocaiúva, nº 1451",Bosque,69940-000,Jaira Azevedo de Farias,(68)9972-0844,"Segunda a sexta-feira, das 8h às 12h e das 14 às 18h",CONFERIDO,MAIO,CAMILLA PAOLONE,CONFERIDO,MAIO,2014-05-20T00:00:00Z,NÃO INFORMADO,2009.0,NÃO,0.0,NÃO,0.0,NÃO,0.0,NÃO,0.0,NÃO,0.0,SIM,Há uma parceria com o CRAS e CREAS.,SIM,SIM,NÃO,NÃO,NÃO,NÃO,SIM,"São feitos alguns atendimentos às menores de idade, quando são convidadas pelo conselho tutelar a participar do caso.",SIM,1.0,NÃO,0.0,SIM,2.0,NÃO,0.0,NÃO,0.0,SIM,Não possuem acesso à internet.,SIM,SIM,SIM,SIM,SIM,SIM,"É uma sala para o Instituto Federal, que promove alguns cursos para as mulheres (exemplo: corte e costura).",SIM,NÃO INFORMADO,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,Jaira Azevedo de Farias/Coordenadora,STELLA,2014-06-02T00:00:00Z,
5.0,N,AC,1200302.0,FEIJÓ,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro de Referência e Apoio a Mulher Francisca Aleixo Cordeiro (CRAM) - Feijó,Prefeitura,(68)3463-3083,cramfeijo@hotmail.com,"Avenida Plácido de Castro, nº 579",Centro,6.996E7,Berlândia de Souza Lima,(68)9934-4903,"de segunda a sexta-feira, das 8h às 13h e das 15h às 16h.",ALTERADO - DADOS,SETEMBRO,LÍGIA SILVA,ALTERADO - DADOS,SETEMBRO,2014-09-23T00:00:00Z,NÃO INFORMADO,NÃO INFORMADO,NÃO,0.0,SIM,1.0,NÃO,0.0,NÃO,0.0,SIM,1.0,NÃO ,SEM ESPECIFICAÇÃO,SIM,SIM,SIM,SIM,NÃO,NÃO,SIM,COMPLEMENTO DA RESPOSTA 2.4 - Fazem o acolhimento do menor do sexo masculino e  encaminham para o CREAS. ,SIM,1.0,SIM,1.0,SIM,2.0,SIM,1.0,SIM,1.0,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,NÃO,SIM,SIM,SIM, COMPLEMENTO DA RESPOSTA 4.2 – Funciona também no mesmo endereço o CREAS a entrada é a mesma mas as equipes são distintas. ,NÃO,NÃO INFORMADO,NÃO,SIM,A Casa Abrigo mais próxima fica em Cruzeiro do Sul distante de Feijó 290Km. ,SIM,SEM ESPECIFICAÇÃO,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,Contato mantido com Sra  Andréia Castro da Silva - Coordenadora ,LÍGIA SILVA,2014-09-24T00:00:00Z,
6.0,NE,AL,2700300.0,ARAPIRACA,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro de Referência e Atendimento à Mulher em Situação de Violência (CRAMSV) - Arapiraca ,Secretaria Municipal de Políticas para as Mulheres de Arapiraca,(82)3521-5211 - (82)8106-5064   ,cramsvarapiraca@gmail.com ,"Rua Padre Jeferson de Carvalho, nº 198 ",Alto do Cruzeiro ,57312-480,Aline Daiane Silva,(82)99720840/ (82)81577669,"De segunda a sexta-feira, das 8h às 14h",ALTERADO - DADOS,MAIO,LÍGIA SILVA,ALTERADO - DADOS,MAIO,2014-05-26T00:00:00Z,2012-09-17T00:00:00Z,2012.0,NÃO,0.0,SIM,1.0,SIM,1.0,NÃO,0.0,SIM,1.0,SIM ,1 Auxiliar de serviços gerais e 1  recepcionista .,SIM,SIM,SIM,NÃO,NÃO,NÃO,SIM ,"Agora atende meninas a partir de 14 anos com o apoio dos outros órgãos conselho tutelar, e atendimento as idosas com auxilio e parceria dos órgãos competentes no caso de atender a mulher que tiver filhos menores do sexo masculino encaminha o para o conselho tutelar",SIM,2.0,NÃO,0.0,SIM,3.0,NÃO,0.0,SIM,1.0,SIM,"O carro fica na Secretaria Municipal de Políticas para as Mulheres de Arapiraca. Informou que o veículo é compartilhado com CEAM. 
Possuem 01 (UMA) multifuncional que imprime/copia 
",SIM,NÃO,SIM,SIM,SIM,SIM ,"Têm alguns problemas de vazamento, a casa tem infiltrações.",NÃO,NÃO INFORMADO,NÃO,SIM,"O serviço de abrigamento fica em Maceió cerca de 1hora e meia de distância de Arapiraca.
Disse que desde a inauguração do CEAM não utilizaram o serviço de abrigamento, porque as mulheres preferem ir para casa de parentes.

Informou também que está em processo licitatório a criação de um serviço de abrigamento na localidade.
",SIM,SEM ESPECIFICAÇÃO,NÃO,"Encaminha o agressor  a pedido da cidadã para questão de álcool encaminha para o CAPS, e hospital Dias a pedido da vitima.",LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,Aline Daiane Silva (coordenadora),JULIANA,2014-06-03T00:00:00Z,
7.0,NE,AL,2704302.0,MACEIÓ,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro de Atendimento e Referência para às Mulheres Vitima de Violência Doméstica Doutora Terezinha Ramires - Maceió ,Secretaria Municipal de Saúde,(82)3315-5310   ,centromulheral@yahoo.com.br ,"Avenida Deputado Humberto Mendes, s/nº - Referência: dentro do Posto de Saúde PAM Salgadinho",Poço,57020-580,Joana Darc ,(82)88964443,"De segunda a sexta-feira, das 8h às 12h e das 13h às 17h",ALTERADO - DADOS,MAIO,LÍGIA SILVA,ALTERADO - DADOS,MAIO,2014-05-21T00:00:00Z,NÃO INFORMADO,2002.0,SIM,2.0,SIM,2.0,NÃO,0.0,NÃO,0.0,NÃO,0.0,SIM,Encaminhamento jurídico para a Defensoria Pública,SIM,SIM,SIM,SIM,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,1.0,NÃO,0.0,NÃO,0.0,NÃO,0.0,NÃO,0.0,SIM ,"OBS. esta com projeto aprovado com recurso da secretaria, não têm o desempenho do projeto para os equipamentos faltantes. ",SIM,SIM,SIM,NÃO,SIM,SIM,"O serviço funciona no mesmo espaço físico do Posto de Saúde PAM Salgadinho, porém em salas separadas O local é compartilhado com plano de saúde informou que está avisado que irá retirar o centro do local, o município disponibiliza como é compartilhado pode ser  que não tenha para onde ir .",SIM,NÃO INFORMADO,NÃO,SIM,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,Joana Darc - Coordenadorta ,JULIANA,2014-06-03T00:00:00Z,
8.0,NE,AL,2704302.0,MACEIÓ,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher em Situação de Violência (CEAM) Jarede Viana - Maceió ,"Secretaria de Estado da Mulher, da Cidadania e dos Direitos Humanos",(82)3315-1740   ,ceam.al@hotmail.com ,"Rua Augusto Cardoso, s/nº ",Jatiúca ,57035-860,Mabel Bonfim Loureiro ,(82)88565780,"De segunda a sexta-feira, das 8h às 14h",ALTERADO - DADOS,MAIO,LÍGIA SILVA,ALTERADO - DADOS,MAIO,2014-05-27T00:00:00Z,2013-06-11T00:00:00Z,2013.0,SIM,1.0,SIM,1.0,SIM,1.0,NÃO,0.0,SIM,2.0,SIM,01 Motorista; 01 Auxiliar de Limpeza,SIM,SIM,SIM,NÃO,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,3.0,SIM,1.0,SIM,3.0,SIM,3.0,SIM,3.0,SIM,"Especificar. São 4(Quatro) computadores, porém somente 03funcionam (Falta de manutenção) .",SIM,SIM,NÃO,NÃO,SIM,SIM,"O CEAM divide o espaço com o PROCOM, porém em salas separadas. 

A interlocutora informou que até o final de Dezembro/2013 o Ministério Público e o Conselho Municipal da Mulher passarão a funcionar no mesmo endereço do CEAM; mas com o novo contato em Maio de 2014, com Flavia Catarina assitente social, informou que não houve essa fusão até o momento.",SIM,NÃO INFORMADO,NÃO INFORMADO,NÃO,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,Flavia Catarina - Assistente Social ,JULIANA,2014-06-03T00:00:00Z,
9.0,N,AP,1600279.0,LARANJAL DO JARI,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro de Referência de Atendimento a Mulher - A Mulher Tem a Força na Alma - Larnajal do Jarí,Secretaria de Segurança Pública do Estado do Amapá,(96)3621-1177,NÃO INFORMADO,"Rua Alvorada, nº 956",Do Agreste,6.892E7,Maria Aldiane Gonçalves Moraes,(96)9117-4445,"Segunda-feira a sexta-feira, das 8h às 18h.",ALTERADO - DADOS,MAIO,LÍGIA SILVA,ALTERADO - DADOS,MAIO,2014-05-20T00:00:00Z,2013-08-30T00:00:00Z,2013.0,SIM,1.0,SIM,1.0,NÃO,0.0,NÃO,0.0,SIM,4.0,SIM,"Foi feita uma parceria com um defensor público da cidade, para onde são encaminhadas as cidadãs com necessidade do atendimento.",SIM,SIM,NÃO,NÃO,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,1.0,SIM,1.0,SIM,3.0,SIM,4.0,SIM,1.0,SIM,Aguardando instalação da internet.,NÃO,NÃO,NÃO,NÃO,SIM,SIM,"Há espaço, mas não tem brinquedos para a brinquedoteca, necessita de reformas.",NÃO,NÃO INFORMADO,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,Roseane Souza de Andrade - Assistente Social,PATRICIA DIAS,2014-06-02T00:00:00Z,
10.0,N,AP,1600303.0,MACAPÁ,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro de Atendimento à Mulher e a Família (CAMUF) - Macapá ,Secretaria de Estado de Justiça e Segurança Pública (SEJUSPE),"(96)3223-7426 
(96)3223-7501",camuf.familia@hotmail.com,"Rua Rio Juruá, n° 816",Centro,68900-000,Girlene Nascimento de Araújo,NÃO INFORMADO,"segunda a sexta-feira, das 7h30min às 19h.",CONFERIDO,MAIO,LÍGIA SILVA,CONFERIDO,MAIO,2014-05-21T00:00:00Z,2005-12-14T00:00:00Z,2005.0,SIM,2.0,SIM,5.0,SIM,1.0,SIM,1.0,SIM,4.0,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,SIM,SIM,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,2.0,SIM,1.0,SIM,6.0,SIM,2.0,NÃO,0.0,NÃO,SEM ESPECIFICAÇÃO,NÃO,NÃO,NÃO,NÃO,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO INFORMADO,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,Girlene Nascimento de Araújo - Coordenadora,PATRICIA DIAS,2014-06-02T00:00:00Z,
