Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40,Column 41,Column 42,Column 43,Column 44,Column 45,Column 46,Column 47,Column 48,Column 49,Column 50,Column 51,Column 52,Column 53,Column 54,Column 55,Column 56,Column 57,Column 58,Column 59,Column 60,Column 61,Column 62,Column 63,Column 64,Column 65,Column 66,Column 67,Column 68,Column 69,Column 70,Column 71,Column 72,Column 73,Column 74,Column 75,Column 76,Column 77,Column 78,Column 79,Column 80,Column 81,Column 82,Column 83,Column 84,Column 85,Column 86,Column 87,Column 88,Column 89,Column 90,Column 91,Column 92
1.0,N,AC,1200401.0,RIO BRANCO,DEAM – DELEGACIAS ESPECIALIZADAS DE ATENDIMENTO À MULHER,DEAM – DELEGACIAS ESPECIALIZADAS DE ATENDIMENTO À MULHER,Delegacia Especializada de Atendimento à Mulher (DEAM) - Rio Branco ,(68)3221-4799 - (68)3221-0404 - (68)3221-6024 – Fax: (68)3221-0404 ,debora.almeida@ac.gov.br; deam.sepc@ac.gov.br,"Via Chico Mendes, nº 803, 2º Distrito - Referência: Ao Lado do Departamento de Estradas e Rodagens do Acre (DERACRE)  ",Triângulo,69901-180 ,Juliana de Angelis Carvalho,(68) 3221-4799/ (68) 3221-0404/ (68) 3221-3345,24h,CONFERIDO,SETEMBRO,2014-09-03T00:00:00Z,NÃO INFORMADO,1986.0,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO ,SIM,SIM,SIM,SIM,NÃO,NÃO,NÃO,COMPLEMENTO DA RESPOSTA 3.3 e 3.4 - NUCRIA,SIM,NÃO,SIM,SIM,SIM,NÃO INFORMADO,NÃO INFORMADO,SIM,SIM,SIM,SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO,NÃO INFORMADO,NÃO INFORMADO,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,COMPLEMENTO DA RESPOSTA 5.1 – Funciona também o NUCRIA,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO,SEMPRE,SEM ESPECIFICAÇÃO,NÃO INFORMADO,NÃO INFORMADO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,"Juliana de Angelis Carvalho 
Delegada Titular da DEAM (RESPOSTA RECEBIDA ATRAVÉS DE E-MAIL RECEBIDO DIA 03/09/2014)",LÍGIA SILVA,2014-09-04T00:00:00Z,,,,,SC,ALTERADO - DADOS,AC,CO
2.0,N,AC,1200203.0,CRUZEIRO DO SUL,POSTOS/NÚCLEOS/SECÇÕES DE ATENDIMENTO À MULHER NAS DELEGACIAS COMUNS,POSTOS/NÚCLEOS/SECÇÕES DE ATENDIMENTO À MULHER NAS DELEGACIAS COMUNS,Seção de Atendimento à Mulher - Delegacia Especializada de Atendimento à Mulher e Proteção ao Menor - Cruzeiro do Sul ,"(68)3322-7440 - (68)3311-1300 – Fax: Fax: (68)3322-1207 Delegacia Regional e (68)3322-8106 Administração.  
",carla.ivane@gmail.com ,"Avenida 25 de Agosto, nº 1923 - Referência: Ao lado do Corpo de Bombeiros ",25 de Agosto,69980-000 ,Carla Ivani de Brito,NÃO INFORMADO,"De segunda-feira a sexta-feira, das 8h às 18h. Após as 18h e aos finais de semana os flagrantes são feitos na Delegacia de Polícia.",ALTERADO - DADOS,SETEMBRO,2014-09-03T00:00:00Z,NÃO INFORMADO,2008.0,SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,Além da violência doméstica são investigados qualquer outro tipo de violência contra a mulher e menores de idade sendo vitima. ,SIM,SIM,SIM,SIM,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,NÃO,SIM,SIM,NÃO INFORMADO,NÃO INFORMADO,SIM,SIM,SIM,SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO,NÃO INFORMADO,NÃO INFORMADO,SIM,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,COMPLEMENTO DA RESPOSTA 5.1 – Funciona também no mesmo endereço o CIOPS (190). ,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO,NÃO,A delegada faz algumas reuniões para orientar os agentes sobre a Lei Maria da Penha e questões de gênero ,SIM,SEM ESPECIFICAÇÃO,SEMPRE,SEM ESPECIFICAÇÃO,NÃO INFORMADO,NÃO INFORMADO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,Contato mantido com Dra Carla Ivane de Brito - Delegada - dia 03/09/2014,LÍGIA SILVA,2014-09-04T00:00:00Z,,,,,SP,ALTERADO - TIPO,AL,N
3.0,NE,AL,2700300.0,ARAPIRACA,DEAM – DELEGACIAS ESPECIALIZADAS DE ATENDIMENTO À MULHER,DEAM – DELEGACIAS ESPECIALIZADAS DE ATENDIMENTO À MULHER,Delegacia de Defesa das Mulheres (DDM) - Arapiraca  ,(82)3521-6318,deddma@pc.al.gov.br ,"Rua Professor Domingos Correia, nº 35",Centro,57300-000,Teila Rocha Nogueira ,NÃO INFORMADO,terça à quinta-feira 24h.,ALTERADO - DADOS,AGOSTO,2014-08-12T00:00:00Z,NÃO INFORMADO,2002.0,SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,A DEAM INVESTIGA QUALQUER TIPO DE CRIME CONTRA A MULHER,SIM,SIM,SIM,SIM,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,NÃO,NÃO,SIM,SIM,SIM,SIM,SIM,SIM,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO,NÃO INFORMADO,NÃO INFORMADO,SIM,NÃO,NÃO,NÃO,SIM,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO,SIM,"Informou que recebem a capacitação anualmente, CENAP que oferece cursos online",SIM,SEM ESPECIFICAÇÃO,FREQUENTEMENTE,SEM ESPECIFICAÇÃO,NÃO INFORMADO,NÃO INFORMADO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,José Gracindo Junior - Escrivão de Polícia ,Juliana ,2014-08-19T00:00:00Z,,,,,SE,INSERIDO,AP,NE
4.0,NE,AL,2704302.0,MACEIÓ,DEAM – DELEGACIAS ESPECIALIZADAS DE ATENDIMENTO À MULHER,DEAM – DELEGACIAS ESPECIALIZADAS DE ATENDIMENTO À MULHER,2ª Delegacia Especializada de Defesa dos Direitos da Mulher (DEDDM) - Maceió  ,(82)3315-4327,deddm2@pc.al.gov.br,Avenida Dario Marsiglia sem n° conjunto Cleto Marques Luz   ,Tabuleiro do Martins,57300-000,Maria Teresa Ramos de Albuquerque,(82)3315-4327,segunda a sexta-feira das 8h às 18h.,ALTERADO - DADOS,AGOSTO,2014-08-11T00:00:00Z,NÃO INFORMADO,2008.0,SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,A DEAM INVESTIGA TODO TIPO DE CRIME QUE ENVOLVA MULHER.,SIM,SIM,NÃO,NÃO,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,SIM,SIM,SIM,NÃO INFORMADO,NÃO INFORMADO,SIM,SIM,SIM,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO,NÃO INFORMADO,NÃO INFORMADO,NÃO,NÃO,SIM,SIM,SIM,SIM,SIM,SIM,Está instalada temporariamente em outro prédio enquanto a delegacia onde estavam instalados anteriormente está em reforma.,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO,SIM,A agente informou que recebem a capacitação anualmente.,SIM,SEM ESPECIFICAÇÃO,SEMPRE,SEM ESPECIFICAÇÃO,NÃO INFORMADO,NÃO INFORMADO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,Delegada Dra.Tereza Ramos ,Juliana ,2014-08-19T00:00:00Z,,,,,TO,CONFERIDO,AM,S
5.0,NE,AL,2704302.0,MACEIÓ,DEAM – DELEGACIAS ESPECIALIZADAS DE ATENDIMENTO À MULHER,DEAM – DELEGACIAS ESPECIALIZADAS DE ATENDIMENTO À MULHER,1ª Delegacia Especializada de Defesa dos Direitos da Mulher (DEDDM) - Maceió  ,(82)3315-4976,deddm1@pc.al.gov.br ,"Rua Boa Vista, nº 443",Centro,57020-110,Fabiana Leão Ferreira  ,NÃO INFORMADO,"Atendimento: de segunda a sexta-feira, das 8h às 18h.",CONFERIDO,AGOSTO,2014-08-11T00:00:00Z,NÃO INFORMADO,1988.0,SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,A DEAM INVESTIGA TODOS OS CRIMES CONTRA MULHER.,SIM,SIM,NÃO,NÃO,NÃO,NÃO,SIM,Os crimes que são apurados na delegacia são lesão ameaça constrangimento e estupro só não atende homicídios tem uma delegacia especifica para apuração de homicídios.,SIM,SIM,NÃO,SIM,NÃO,NÃO INFORMADO,NÃO INFORMADO,SIM,SIM,NÃO,NÃO,NÃO,SIM,Os computadores sempre estão em consertos ,NÃO INFORMADO,NÃO INFORMADO,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO,SIM,O atendimento é feito tudo junto o espaço do ambiente não favorece.,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO,SIM,"existe a capacitação  a cada 2 anos pelo governo , e o  Cenasp oferece cursos online ",SIM,SEM ESPECIFICAÇÃO,SEMPRE,SEM ESPECIFICAÇÃO,NÃO INFORMADO,NÃO INFORMADO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,Glycia Vilela - Chefe de Operações - Agente de Policia,Juliana ,2014-08-19T00:00:00Z,,SIM,,,,NÃO ATUALIZADO,BA,SE
6.0,NE,AL,2702405.0,DELMIRO GOUVEIA,POSTOS/NÚCLEOS/SECÇÕES DE ATENDIMENTO À MULHER NAS DELEGACIAS COMUNS,POSTOS/NÚCLEOS/SECÇÕES DE ATENDIMENTO À MULHER NAS DELEGACIAS COMUNS,Núcleo de Atendimento à Mulher em Situação de Violência - 1ª DRP - Delmiro Gouveia,(82)3641-5368,1drp@pc.al.gov.br,"Rua 21 de Abril, s/nº",Centro,5.748E7,Rodrigo Rocha Cavalcante,NÃO INFORMADO,"Núcleo: terça a quinta-feira, das 8h às 18h. Delegacia: 24h.",CONFERIDO,AGOSTO,2014-08-12T00:00:00Z,2014-04-29T00:00:00Z,2014.0,NÃO,NÃO,SIM,O mesmo delegado da regional atende o núcleo ,NÃO,"O núcleo atende somente mulheres, mas a delegacia geral atende todos os tipos de públicos",SIM,SIM,SIM,NÃO,NÃO,NÃO,SIM,Criança e adolescentes encaminham para o conselho tutelar.,SIM,NÃO,NÃO,NÃO,SIM,NÃO INFORMADO,NÃO INFORMADO,SIM,SIM,SIM,NÃO,NÃO,SIM,"Os equipamentos são da 1ª DRP, porém são compartilhados com o núcleo. Possuem uma viatura, porém ela foi levada para manutenção e não foi devolvida.",NÃO INFORMADO,NÃO INFORMADO,SIM,NÃO,SIM,NÃO,SIM,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,NÃO,NÃO,SIM,"Não tem os serviços na cidade, somente CRAS e CREAS.",SIM,SEM ESPECIFICAÇÃO,SIM,Informou que recentemente houve uma capacitação ,SIM,SEM ESPECIFICAÇÃO,SEMPRE,SEM ESPECIFICAÇÃO,NÃO INFORMADO,NÃO INFORMADO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,Suely Pereira  - Agente de Polícia ,Juliana ,2014-08-19T00:00:00Z,,NÃO,,,,,CE,
7.0,N,AP,1600303.0,MACAPÁ,DEAM – DELEGACIAS ESPECIALIZADAS DE ATENDIMENTO À MULHER,DEAM – DELEGACIAS ESPECIALIZADAS DE ATENDIMENTO À MULHER,Delegacia Especializada de Crimes Contra a Mulher (DECCM) - Macapá ,(96)2101-2751   ,NÃO INFORMADO,"Rua Rio Juruá, s/nº - Referência: Próximo a Peixaria Amazonas Plaza ",Centro,68900-000 ,Antonia Vilani Gomes Alencar Feitosa ,NÃO INFORMADO,24h,CONFERIDO,AGOSTO,2014-08-12T00:00:00Z,NÃO INFORMADO,1996.0,SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,Qualquer outro tipo de violência contra a mulher,SIM,SIM,SIM,NÃO,NÃO,NÃO,SIM,Atendem meninas menores de idade que já tenham uma relação conjugal que sofram violência doméstica ,SIM,NÃO,NÃO,SIM,SIM,NÃO INFORMADO,NÃO INFORMADO,SIM,SIM,SIM,SIM,SIM,SIM,SEM ESPECIFICAÇÃO ,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,SIM,SIM,SIM,NÃO,"SEM ESPECIFICAÇÃO
",SIM,SIM,SIM,. As mulheres são encaminhadas para o CAMUF (Centro de Atendimento a Mulher e a Família) que atende toda a família.,SIM,SEM ESPECIFICAÇÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO,FREQUENTEMENTE,SEM ESPECIFICAÇÃO,NÃO INFORMADO,NÃO INFORMADO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,"Suely Salgado - Oficial de Justiça 
",Juliana ,2014-08-19T00:00:00Z,,NÃO INFORMADO,,,,SIM,DF,
8.0,N,AP,1600279.0,LARANJAL DO JARI,DEAM – DELEGACIAS ESPECIALIZADAS DE ATENDIMENTO À MULHER,DEAM – DELEGACIAS ESPECIALIZADAS DE ATENDIMENTO À MULHER,Delegacia da Mulher (DMLJ) - Laranjal do Jari,(96)3621-3904 - (96)3621-1887 – Fax: (96)3621-3904 ,NÃO INFORMADO,"Rua Progresso, nº 1176 ",Agreste ,68920-000 ,Marília Plaza ,NÃO INFORMADO,24h ,ALTERADO - DADOS,SETEMBRO,2014-09-03T00:00:00Z,2009-03-08T00:00:00Z,2009.0,NÃO,NÃO,SIM,Às vezes a delegada tira plantão na Delegacia Central e na Delegacia da Criança e Adolescente,SIM,"Além da violência doméstica e familiar a delegacia investiga qualquer crime contra a pessoa da mulher, menos roubo e furto",SIM,SIM,SIM,NÃO,NÃO,NÃO,SIM,"Público idosos homens é encaminhado para a delegacia central ,crianças e adolescente do gênero masculino para a delegacia da infância e juventude .",SIM,NÃO,NÃO,NÃO,SIM,NÃO INFORMADO,NÃO INFORMADO,SIM,SIM,SIM,NÃO,NÃO,SIM,O Rádio HT e o Fax estão quebrados,NÃO INFORMADO,NÃO INFORMADO,NÃO,NÃO,NÃO,SIM,NÃO,SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO,FREQUENTEMENTE,SEM ESPECIFICAÇÃO,NÃO INFORMADO,NÃO INFORMADO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,"Daniel Rui Ferrão - Agente de Pólícia 
",Juliana ,2014-09-04T00:00:00Z,,NÃO SE APLICA,,,,NÃO,ES,
9.0,N,AP,1600600.0,SANTANA,DEAM – DELEGACIAS ESPECIALIZADAS DE ATENDIMENTO À MULHER,DEAM – DELEGACIAS ESPECIALIZADAS DE ATENDIMENTO À MULHER,Delegacia de Crimes Contra a Mulher - Santana,(96)2101-2953 - (96)2101-2960  ,NÃO INFORMADO,"Avenida José de Anchieta, nº 797, Esquina com a Travessa Atlântico - Referência: atrás do antigo Independente Esporte Clube",Centro,68925-000 ,Maria Leida Borges de Souza ,(96) 9161-3859,24h ,CONFERIDO,AGOSTO,2014-08-13T00:00:00Z,NÃO INFORMADO,1996.0,SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,NÃO,NÃO,NÃO,NÃO,SIM,"Quando for menor de idade, o atendimento é realizado na delegacia do menor.",SIM,NÃO,NÃO,SIM,NÃO,NÃO INFORMADO,NÃO INFORMADO,SIM,SIM,SIM,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO ,NÃO INFORMADO,NÃO INFORMADO,NÃO,NÃO,NÃO,NÃO,NÃO,SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,SIM,Encaminha para casa abrigo da capital do estado todo.,SIM,SEM ESPECIFICAÇÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO,SEMPRE,SEM ESPECIFICAÇÃO,NÃO INFORMADO,NÃO INFORMADO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,Diana Gomes Macedo/Agente de Polícia  ,Juliana ,2014-08-19T00:00:00Z,,SEMPRE,,,,,GO,
10.0,N,AM,1301902.0,ITACOATIARA,DEAM – DELEGACIAS ESPECIALIZADAS DE ATENDIMENTO À MULHER,DEAM – DELEGACIAS ESPECIALIZADAS DE ATENDIMENTO À MULHER,Delegacia Especializada de Crimes Contra a Mulher (DECCM) - Itacoatiara,(92)3521-2764 e (92)3521-2595   Fax: 923521-2595,ketlen_lilian@hotmail.com ,"Avenida Eduardo Ribeiro, nº 3581 - Referência: Próximo ao Posto de Saúde Eutimes e ao lado do Sesc",Jauary 2,69000-100,Ketlen Lilian Azevedo Pereira ,NÃO INFORMADO, 24h,CONFERIDO,AGOSTO,2014-08-12T00:00:00Z,NÃO INFORMADO,2001.0,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO ,SIM,Crimes contra o idoso e menor vítima; crimes praticados por menores. ,SIM,SIM,SIM,SIM,NÃO,SIM,NÃO,SEM ESPECIFICAÇÃO ,SIM,NÃO,SIM,SIM,SIM,NÃO INFORMADO,NÃO INFORMADO,NÃO,SIM,SIM,NÃO,NÃO,NÃO, SEM ESPECIFICAÇÃO,NÃO INFORMADO,NÃO INFORMADO,SIM,NÃO,SIM,SIM,NÃO,NÃO,SIM,NÃO, SEM ESPECIFICAÇÃO,SIM,SIM,NÃO, SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO ,NÃO,SEM ESPECIFICAÇÃO ,SIM,SEM ESPECIFICAÇÃO ,FREQUENTEMENTE,SEM ESPECIFICAÇÃO ,NÃO INFORMADO,NÃO INFORMADO,SEM ESPECIFICAÇÃO ,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO, KETLEN LILIAN AZEVEDO PEREIRA/ DELEGADA TITULAR,GERSILENE,2014-08-19T00:00:00Z,,FREQUENTEMENTE,,,,,MA,
