Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40,Column 41,Column 42,Column 43,Column 44,Column 45,Column 46,Column 47,Column 48,Column 49,Column 50,Column 51,Column 52,Column 53,Column 54,Column 55,Column 56,Column 57,Column 58,Column 59,Column 60,Column 61,Column 62,Column 63,Column 64,Column 65,Column 66,Column 67,Column 68,Column 69,Column 70,Column 71,Column 72,Column 73,Column 74,Column 75,Column 76,Column 77,Column 78
1.0,N,AC,1200401.0,RIO BRANCO,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizados de Violência Doméstica e Familiar contra à Mulher,Vara de Violência Doméstica e Familiar Contra a Mulher - Rio Branco,Juizado ou Vara Especializado(a) de Violência Doméstica contra a Mulher,(68)3211-3857     (68)3211-5558,vamulher1rb@tjac.jus.br,"Rua Benjamin Constant, nº 1190",Centro,69900-000,Shirlei de Oliveira Hage Menezes,(68)3211-5359,ALTERADO - DADOS,JULHO,2014-07-18T00:00:00Z,2008-02-29T00:00:00Z,2008.0,"Segunda a sexta-feira, das 8h às 18h",SIM,PRÓPRIOS,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,Tramitam processos no âmbito de crimes contra Criança e Adolescente se a vítima for mulher,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SEMPRE,SEM ESPECIFICAÇÃO,NÃO,SIM,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,"Glenda Awstin Braga de Sousa
Assessora Jurídica
",Maria Mônica,2014-07-29T00:00:00Z,,,,,,,,,,,,,,,,,,,
2.0,NE,AL,2704302.0,MACEIÓ,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizado da Violência Doméstica e Familiar Contra a Mulher - Maceió,Juizado ou Vara Especializado(a) de Violência Doméstica contra a Mulher,(82)2126-9671 (82)2126-9669 (82)2126-9667,jecc4@tjal.jus.br ,Praça Sinimbu nº 119,Centro,57020-720,Paulo Zacarias da Silva,(82)2126-9677,CONFERIDO,JULHO,2014-07-08T00:00:00Z,2008-05-30T00:00:00Z,2008.0,"segunda a sexta-feira, das 7h30min às 13h30min",SIM,PRÓPRIOS,NÃO,SEM ESPECIFICAÇÃO,NÃO,SIM,Atendem também crimes de violência sexual contra a mulher,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,FREQUENTEMENTE,SEM ESPECIFICAÇÃO,NÃO,NÃO INFORMADO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,Maria Luiza dos Santos Messias. Chefe de cartório,Maria Mônica,2014-07-29T00:00:00Z,,,,,,,,,,,,,,,,,,,
3.0,N,AP,1600303.0,MACAPÁ,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizados de Violência Doméstica e Familiar contra à Mulher,Vara do Juizado de Violência Doméstica e Familiar Contra a Mulher - Macapá,Juizado ou Vara Especializado(a) de Violência Doméstica contra a Mulher,(96)3312-3400 (96)3312-3562,marinete.souza@tjap.jus.br juiz.augusto@tjap.jus.br,"Avenida FAB, n° 1737",Centro,68906-450,Augusto César Gomes Leite.,(96)3312-4515,CONFERIDO,JULHO,2014-07-09T00:00:00Z,2009-06-29T00:00:00Z,2009.0,"segunda a sexta-feira, das 7h30min às 14h30min",SIM,PRÓPRIOS,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,Aqueles no âmbito da Lei 9.099/1995 (Infrações de menor potencial ofensivo) e crimes de violência sexual contra a mulher.,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SEMPRE,SEM ESPECIFICAÇÃO,NÃO,SIM,Encaminha para o CAMUF e CAPS,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,"Ana Teresa Valdemar da Silva                
Assessora do Juiz
",Maria Mônica,2014-07-29T00:00:00Z,,,,,,,,,,,,,,,,,,,
4.0,N,AP,1600600.0,SANTANA,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizado de Violência Doméstica Contra a Mulher - Santana,Juizado ou Vara Especializado(a) de Violência Doméstica contra a Mulher,(96)3281-8174  (96)3281-8128,waldez.costa@tjap.jus.br,"Rua Cláudio Lúcio Monteiro, n° 2100",Vila Amazonas,6.8925E7,Michelle Costa Farias,(96)3281-8128,ALTERADO - DADOS,JULHO,2014-07-18T00:00:00Z,2011-11-25T00:00:00Z,2011.0,"segunda a sexta-feira, das 7h30min às 13h30min",SIM,PRÓPRIOS,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,No âmbito de crimes de violência sexual contra a mulher se for  lei Maria da Penha.,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,NÃO,SIM,NÃO,SEM ESPECIFICAÇÃO,SEMPRE,SEM ESPECIFICAÇÃO,SIM,NÃO SE APLICA,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,"Jhonatan Ferreira de Oliveira.
Assessor da Juíza.
",Maria Mônica,2014-07-29T00:00:00Z,,,,,,,,,,,,,,,,,,,
5.0,N,AM,1302603.0,MANAUS,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizados de Violência Doméstica e Familiar contra à Mulher,1º Juizado Especializado no Combate a Violência Doméstica e Familiar contra a Mulher - Manaus,Juizado ou Vara Especializado(a) de Violência Doméstica contra a Mulher,(92)2127-7553; (92)2127-7555 fax: (92)2127-7553,mpenha@tj.am.gov.br,"Avenida Autaz Mirim, s/nº",José Teixeira,69088-000,Antônio Carlos Marinho Bezerra Júnior,NÃO INFORMADO,ALTERADO - DADOS,JULHO,2014-07-11T00:00:00Z,2013-03-01T00:00:00Z,2013.0,"segunda a sexta-feira, das 8h às 14h",SIM,PRÓPRIOS,SIM,"Os servidores da equipe multidisciplinar são tanto concursados, como terceirizados.",SIM,NÃO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,SIM,SIM,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SIM,Os encaminhamentos são feitos pela delegacia.,FREQUENTEMENTE,SEM ESPECIFICAÇÃO,SIM,NÃO SE APLICA,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,LEVANTAMENTO REALIZADO COM SUCESSO,Maria Neide Pena/Auxiliar judiciária,STELLA,2014-07-29T00:00:00Z,,,,,,,,,,,,,,,,,,,
6.0,N,AM,1302603.0,MANAUS,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizados de Violência Doméstica e Familiar contra à Mulher,2º Juizado Especializado de Violência Doméstica e Familiar contra a Mulher - Manaus,Juizado ou Vara Especializado(a) de Violência Doméstica contra a Mulher,(92)3232-3802,mariadapenha2@tjam.jus.br,"Avenida Presidente Kennedy, nº 399",Educandos  ,6.9074E7,Luciana da Eira Nasser,NÃO INFORMADO,ALTERADO - DADOS,JULHO,2014-07-11T00:00:00Z,2013-03-19T00:00:00Z,2013.0,"Segunda a sexta-feira, das 8h às 14h",SIM,PRÓPRIOS,SIM,"Os servidores da equipe multidisciplinar são tanto concursados, como terceirizados. A equipe é composta por funcionários da secretaria de assistência social, porém são específicos e designados para o tribunal.",SIM,SIM,"O juizado atua no âmbito criminal comum e cível (previstos na lei Maria da Penha), busca e apreensão de menores, restituição de bens, etc. ",NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,SIM,NÃO,NÃO,SIM,SIM,"A estrutura é precária e simples, possui uma escada perigosa. Não possui rota de fuga, apresenta infiltrações, a parte elétrica é inadequada e já ocorreram três curtos circuitos. A porta da secretaria não tranca, não possuem seguranças e nem detectores de metal. A demanda atual de processos é sete mil, o dobro do valor normal para uma vara. Possuem apenas dois servidores trabalhando na secretaria, enquanto no mínimo deveriam ser oito. Sua localização é oposta ao fórum e tribunal de justiça, dificultando a assistência e apoio de informática, por exemplo.",SIM,SIM,SIM,"Quando o réu é condenado, o processo vai para a vara de execuções penais e medidas alternativas, onde há um trabalho com os agressores, do qual não soube informar o tipo. Informa que faltam programas de divulgação da lei e acompanhamento para as famílias (mães). Não há reabilitação para dependentes químicos, uma das causas da violência.",FREQUENTEMENTE,"Houve uma grave dos oficiais de justiça do estado. Ficaram paralisados de 08 de abril a 11 de julho. Tentaram uma solução paliativa nos casos mais urgentes, do qual um servidor estava executando a função. Porém, há uma fila de espera de 900 mandatos. Possuem apenas um carro e dois servidores para distribuir.",NÃO,NÃO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,LEVANTAMENTO REALIZADO COM SUCESSO,Kelly Vasconcelos/Diretora de secretaria,STELLA,2014-07-29T00:00:00Z,,,,,,,,,,,,,,,,,,,
7.0,NE,BA,2910800.0,FEIRA DE SANTANA,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizados de Violência Doméstica e Familiar contra à Mulher,Vara de Violência Doméstica e Familiar contra a Mulher - Feira de Santana,Juizado ou Vara Especializado(a) de Violência Doméstica contra a Mulher, (75)3614-5835         (75)3624-9615,varadamulherfsa@tjba.jus.br,"Avenida dos Pássaros, nº 94",Mochila II,44005-785,Juiz Substituto: Leonardo Fonseca Tocha ,(77)8821-2812,ALTERADO - DADOS,JULHO,2014-07-07T00:00:00Z,2010-01-20T00:00:00Z,2010.0,"Segunda a sexta-feira, das 8h às 18h.",NÃO,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SIM,SIM,SIM,"Só se a criança ou adolescente forem mulheres, e idosas vitimas de violências doméstica e familiar.",SIM,NÃO,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,FREQUENTEMENTE,SEM ESPECIFICAÇÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,Taiane Pinheiro - Estagiaria ,Juliana,2014-07-29T00:00:00Z,,,,,,,,,,,,,,,,,,,
8.0,NE,BA,2927408.0,SALVADOR,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizados de Violência Doméstica e Familiar contra à Mulher,Vara de Violência Doméstica e Familiar Contra a Mulher - Salvador  ,Juizado ou Vara Especializado(a) de Violência Doméstica contra a Mulher,      (71)3328-1195       Fax:(71)3329-5038              (71)3328-0317,1vdfcm@tjba.jus.br         ,"Rua Conselheiro Spínola, nº 77",Barris,40070-130,Márcia Nunes Lisboa.,(71)9134-3203,CONFERIDO,JULHO,2014-07-07T00:00:00Z,2008-11-18T00:00:00Z,2008.0,"Segunda a sexta-feira, das 8h às 18h.",SIM,PRÓPRIOS,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,NÃO,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,SIM,SIM,SIM,Necessita de uma Reforma geral por motivo de infiltrações no período de chuva,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,FREQUENTEMENTE,SEM ESPECIFICAÇÃO,NÃO,SIM,"Encaminha para o Centro de Referência, onde existe um serviço voltado ao agressor , dependendo da solicitação que encaminha, de alcoolismo, encaminha ao profissional especialista conforme a situação do agressor. _______________________________________________________________",NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,Ivanildo Bezerra de Almeida - Técnico Juduiciário,Juliana,2014-07-29T00:00:00Z,,,,,,,,,,,,,,,,,,,
9.0,NE,CE,2304400.0, FORTALEZA,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizado da Violência Doméstica e Familiar Contra a Mulher - Fortaleza, Juizado ou Vara Especializado (a) de Violência Doméstica contra a Mulher,(85)3214-0152,juizadomulherfortaleza@tjce.jus.br,"Avenida da Universidade, nº 3281 - ",Benfica,60025-062,Fátima Maria Rosa Mendonça - Juíza,(85)3433-8785 / (85)3214-0152 / (85)3433-8782,CONFERIDO,JULHO,2014-07-10T00:00:00Z,2007-12-18T00:00:00Z,2007.0,"de segunda a sexta-feira, das 8h às 18h.",SIM,PRÓPRIOS,SIM,"O quadro é composto por 1 psicóloga,    1psipedagoga, 1 assistente social e 1 pedagoga ",SIM,SIM,"Criança e adolescentes, ambos os gêneros que sofrem violência. Quando ocorre violência sexual a vitima for mulher tem que ser maior de idade, pois em fortaleza existe uma vara específica para apuração de crimes contra a criança e adolescentes.   ",SIM,NÃO,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,SIM,SIM,SIM," Para a brinquedoteca Falta material. Espaço tem, faltam brinquedos.",SIM,SIM,SIM,Realizado pela equipe multidisciplinar grupos com os autores de violência participam de palestra caso seja verificado se precisar encaminham os agressores para Caps. AA e narcótico anônimo. ,SEMPRE,SEM ESPECIFICAÇÃO,SIM,NÃO INFORMADO,SEM ESPECIFICAÇÃO ,SIM,NÃO SE APLICA,NÃO SE APLICA ,NÃO INFORMADO,SEM ESPECIFICAÇÃO ,LEVANTAMENTO REALIZADO COM SUCESSO,"Aline Monteiro de Freitas Menezes - Diretora de Secretaria 
",Juliana ,2014-07-29T00:00:00Z,,,,,,,,,,,,,,,,,,,
10.0,NE,CE,2307304.0,JUAZEIRO DO NORTE,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizado de Violência Doméstica e Familiar Contra a Mulher - Juazeiro do Norte  , Juizado ou Vara Especializado (a) de Violência Doméstica contra a Mulher,(88)3571-5253/ 88)3571-5195/ (88)3512-1625,juazeirojm@pjce.jus.br ,"Rua Manoel Miguel dos Santos, nº 130 ",Lagoa Seca,63040-150,José Mauro Lima Feitosa.  - Juiz ,(88)3571-5253,ALTERADO - DADOS,JULHO,2014-07-08T00:00:00Z,2007-12-20T00:00:00Z,2007.0,"de segunda a sexta-feira, das 8h às 18h.

",SIM,PRÓPRIOS,SIM,A equipe é composta por 2  psicólogas  e  1 assistente social . ,SIM,SIM,Criança e adolescentes ambos os gêneros que sofrem violência doméstica e familiar ,SIM,NÃO,NÃO SE APLICA,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,SIM,NÃO,SIM,"Falta material espaço, mas pode verificar uma sala quando a cidadã solicita que não deseja o encontro com o agressor.",NÃO,SIM,NÃO,SEM ESPECIFICAÇÃO ,SEMPRE,SEM ESPECIFICAÇÃO,NÃO,NÃO INFORMADO,Encaminha o agressor para centro CAPS. ,SIM,NÃO SE APLICA,NÃO SE APLICA ,NÃO INFORMADO,SEM ESPECIFICAÇÃO ,LEVANTAMENTO REALIZADO COM SUCESSO,"José Gomes dos Santos - Diretor de Secretaria

",Juliana ,2014-07-29T00:00:00Z,,,,,,,,,,,,,,,,,,,
