Nome Universo,Data Atualização Dados,Região,UF,Localidade,Setor (Cod/Desc),Órgão,Órgão (Cod/Desc),UO,UO (Cod/Desc),Funcional,Função (Cod/Desc),Subfunção (Cod/Desc),Programa (Cod/Desc),Ação (Cod/Desc),Subtítulo (Cod/Desc),Esfera (Cod),GND (Cod),Mod. Aplic. (Cod),Fonte,Fonte (Cod/Desc),Dotação Inicial,Autorizado,Empenhado,Liquidado (Subelemento),Pago,RP Não-Proc Insc. Outros Exercícios,RP Inscrito,RP Pago,Programa (Cod),Programa,Ação (Cod),PO (Cod/Desc),Iniciativa (Cod),Objetivo (Cod/Desc),Iniciativa (Cod/Desc)
LOA2014 - Despesa Execução,2014/11/22 00:00:00,NO,TO,ARAGUATINS,07 - JUSTIÇA E DEFESA,MINISTÉRIO DA JUSTIÇA,30000 - MINISTÉRIO DA JUSTIÇA,FUNDO NACIONAL DE SEGURANÇA PÚBLICA,30911 - FUNDO NACIONAL DE SEGURANÇA PÚBLICA,06.183.2070.20ID.0060,06 - SEGURANÇA PÚBLICA,183 - INFORMAÇÃO E INTELIGÊNCIA,2070 - SEGURANÇA PÚBLICA COM CIDADANIA,"20ID - APOIO À ESTRUTURAÇÃO, REAPARELHAMENTO, MODERNIZAÇÃO ORGANIZACIONAL E TECNOLÓGICA DAS INSTITUIÇÕES DE SEGURANÇA PÚBLICA",0060 - ARAGUATINS - TO,F,4,30,RECURSOS ORDINARIOS,100 - RECURSOS ORDINARIOS,0,0,0,0,0,700000,700000,700000,2070,SEGURANÇA PÚBLICA COM CIDADANIA,20ID,0000 - NÃO INFORMADO,03DV,"0830- PROPICIAR A ATUAÇÃO DE EXCELÊNCIA DOS ÓRGÃOS DE SEGURANÇA PÚBLICA DA UNIÃO, DOS ESTADOS, DO DISTRITO FEDERAL E DOS MUNICÍPIOS, ASSIM COMO DE OUTRAS INSTITUIÇÕES, COM ÊNFASE NO APRIMORAMENTO DE SUAS ESTRUTURAS FÍSICAS, ORGANIZACIONAIS E MODELOS DE GESTÃO, DO DESENVOLVIMENTO DE SISTEMAS DE INFORMAÇÃO E BANCOS DE DADOS, DO FORTALECIMENTO DA ATIVIDADE DE INTELIGÊNCIA E REESTRUTURAÇÃO E MODERNIZAÇÃO DO SISTEMA DE PRODUÇÃO DA PROVA MATERIAL.","03DV-APOIAR A MODERNIZAÇÃO ORGANIZACIONAL E TECNOLÓGICA, O REAPARELHAMENTO, A CONSTRUÇÃO E REFORMAS DAS INSTITUIÇÕES DE SEGURANÇA PÚBLICA E DE CONTROLE EXTERNO E INTERNO (OUVIDORIA E CORREGEDORIA) DOS ESTADOS, DO DISTRITO FEDERAL, DOS MUNICÍPIOS E DA FORÇA NACIONAL DE SEGURANÇA PÚBLICA, INCLUINDO O DESENVOLVIMENTO DO SINESP"
LOA2014 - Despesa Execução,2014/11/22 00:00:00,NO,TO,ARAGUAÍNA,02 - SAÚDE,MINISTÉRIO DA SAÚDE,36000 - MINISTÉRIO DA SAÚDE,FUNDO NACIONAL DE SAÚDE,36901 - FUNDO NACIONAL DE SAÚDE,10.301.2015.8581.0421,10 - SAÚDE,301 - ATENÇÃO BÁSICA,2015 - APERFEIÇOAMENTO DO SISTEMA ÚNICO DE SAÚDE (SUS),8581 - ESTRUTURAÇÃO DA REDE DE SERVIÇOS DE ATENÇÃO BÁSICA DE SAÚDE,0421 - NO MUNICÍPIO DE ARAGUAÍNA - TO,S,4,40,RECURSOS ORDINARIOS,100 - RECURSOS ORDINARIOS,2100000,1753110,0,0,0,0,0,0,2015,APERFEIÇOAMENTO DO SISTEMA ÚNICO DE SAÚDE (SUS),8581,0000 - ESTRUTURACAO DA REDE DE SERVICOS DE ATENCAO BASICA DE SAUDE,02PW,"0713- GARANTIR ACESSO DA POPULAÇÃO A SERVIÇOS DE QUALIDADE, COM EQUIDADE E EM TEMPO ADEQUADO AO ATENDIMENTO DAS NECESSIDADES DE SAÚDE, APRIMORANDO A POLÍTICA DE ATENÇÃO BÁSICA E A ATENÇÃO ESPECIALIZADA.","02PW-REORDENAMENTO DA ATENÇÃO ESPECIALIZADA VISANDO À INTEGRALIDADE DE ATENÇÃO, ASSIM COMO AMPLIAÇÃO DA ATENÇÃO PRIMÁRIA E ESPECIALIZADA EM REDES DE ATENÇÃO À SAÚDE, COM QUALIFICAÇÃO DAS PRÁTICAS E DA GESTÃO DO CUIDADO, BUSCANDO ASSEGURAR RESOLUTIVIDADE"
LOA2014 - Despesa Execução,2014/11/22 00:00:00,NO,TO,ARAGUAÍNA,02 - SAÚDE,MINISTÉRIO DA SAÚDE,36000 - MINISTÉRIO DA SAÚDE,FUNDO NACIONAL DE SAÚDE,36901 - FUNDO NACIONAL DE SAÚDE,10.301.2015.8581.0421,10 - SAÚDE,301 - ATENÇÃO BÁSICA,2015 - APERFEIÇOAMENTO DO SISTEMA ÚNICO DE SAÚDE (SUS),8581 - ESTRUTURAÇÃO DA REDE DE SERVIÇOS DE ATENÇÃO BÁSICA DE SAÚDE,0421 - NO MUNICÍPIO DE ARAGUAÍNA - TO,S,4,41,CONTRIBUICAO P/FINANCIAM.DA SEGURIDADE SOCIAL,153 - CONTRIBUICAO P/FINANCIAM.DA SEGURIDADE SOCIAL,0,0,0,0,0,0,497755,497755,2015,APERFEIÇOAMENTO DO SISTEMA ÚNICO DE SAÚDE (SUS),8581,0000 - ESTRUTURACAO DA REDE DE SERVICOS DE ATENCAO BASICA DE SAUDE,02PW,"0713- GARANTIR ACESSO DA POPULAÇÃO A SERVIÇOS DE QUALIDADE, COM EQUIDADE E EM TEMPO ADEQUADO AO ATENDIMENTO DAS NECESSIDADES DE SAÚDE, APRIMORANDO A POLÍTICA DE ATENÇÃO BÁSICA E A ATENÇÃO ESPECIALIZADA.","02PW-REORDENAMENTO DA ATENÇÃO ESPECIALIZADA VISANDO À INTEGRALIDADE DE ATENÇÃO, ASSIM COMO AMPLIAÇÃO DA ATENÇÃO PRIMÁRIA E ESPECIALIZADA EM REDES DE ATENÇÃO À SAÚDE, COM QUALIFICAÇÃO DAS PRÁTICAS E DA GESTÃO DO CUIDADO, BUSCANDO ASSEGURAR RESOLUTIVIDADE"
LOA2014 - Despesa Execução,2014/11/22 00:00:00,NO,TO,ARAGUAÍNA,02 - SAÚDE,MINISTÉRIO DA SAÚDE,36000 - MINISTÉRIO DA SAÚDE,FUNDO NACIONAL DE SAÚDE,36901 - FUNDO NACIONAL DE SAÚDE,10.301.2015.8581.0421,10 - SAÚDE,301 - ATENÇÃO BÁSICA,2015 - APERFEIÇOAMENTO DO SISTEMA ÚNICO DE SAÚDE (SUS),8581 - ESTRUTURAÇÃO DA REDE DE SERVIÇOS DE ATENÇÃO BÁSICA DE SAÚDE,0421 - NO MUNICÍPIO DE ARAGUAÍNA - TO,S,4,41,RECURSOS ORDINARIOS,100 - RECURSOS ORDINARIOS,0,346890,346890,0,0,0,0,0,2015,APERFEIÇOAMENTO DO SISTEMA ÚNICO DE SAÚDE (SUS),8581,0000 - ESTRUTURACAO DA REDE DE SERVICOS DE ATENCAO BASICA DE SAUDE,02PW,"0713- GARANTIR ACESSO DA POPULAÇÃO A SERVIÇOS DE QUALIDADE, COM EQUIDADE E EM TEMPO ADEQUADO AO ATENDIMENTO DAS NECESSIDADES DE SAÚDE, APRIMORANDO A POLÍTICA DE ATENÇÃO BÁSICA E A ATENÇÃO ESPECIALIZADA.","02PW-REORDENAMENTO DA ATENÇÃO ESPECIALIZADA VISANDO À INTEGRALIDADE DE ATENÇÃO, ASSIM COMO AMPLIAÇÃO DA ATENÇÃO PRIMÁRIA E ESPECIALIZADA EM REDES DE ATENÇÃO À SAÚDE, COM QUALIFICAÇÃO DAS PRÁTICAS E DA GESTÃO DO CUIDADO, BUSCANDO ASSEGURAR RESOLUTIVIDADE"
LOA2014 - Despesa Execução,2014/11/22 00:00:00,NO,TO,ARAGUAÍNA,02 - SAÚDE,MINISTÉRIO DA SAÚDE,36000 - MINISTÉRIO DA SAÚDE,FUNDO NACIONAL DE SAÚDE,36901 - FUNDO NACIONAL DE SAÚDE,10.302.2015.8535.0421,10 - SAÚDE,302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,2015 - APERFEIÇOAMENTO DO SISTEMA ÚNICO DE SAÚDE (SUS),8535 - ESTRUTURAÇÃO DE UNIDADES DE ATENÇÃO ESPECIALIZADA EM SAÚDE,0421 - NO MUNICÍPIO DE ARAGUAÍNA - TO,S,4,50,RECURSOS ORDINARIOS,100 - RECURSOS ORDINARIOS,343000,343000,343000,0,0,0,0,0,2015,APERFEIÇOAMENTO DO SISTEMA ÚNICO DE SAÚDE (SUS),8535,0000 - ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE - DESPESAS DIVERSAS,02PW,"0713- GARANTIR ACESSO DA POPULAÇÃO A SERVIÇOS DE QUALIDADE, COM EQUIDADE E EM TEMPO ADEQUADO AO ATENDIMENTO DAS NECESSIDADES DE SAÚDE, APRIMORANDO A POLÍTICA DE ATENÇÃO BÁSICA E A ATENÇÃO ESPECIALIZADA.","02PW-REORDENAMENTO DA ATENÇÃO ESPECIALIZADA VISANDO À INTEGRALIDADE DE ATENÇÃO, ASSIM COMO AMPLIAÇÃO DA ATENÇÃO PRIMÁRIA E ESPECIALIZADA EM REDES DE ATENÇÃO À SAÚDE, COM QUALIFICAÇÃO DAS PRÁTICAS E DA GESTÃO DO CUIDADO, BUSCANDO ASSEGURAR RESOLUTIVIDADE"
LOA2014 - Despesa Execução,2014/11/22 00:00:00,NO,TO,ARAGUAÍNA,02 - SAÚDE,MINISTÉRIO DA SAÚDE,36000 - MINISTÉRIO DA SAÚDE,FUNDO NACIONAL DE SAÚDE,36901 - FUNDO NACIONAL DE SAÚDE,10.302.2015.8535.7776,10 - SAÚDE,302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,2015 - APERFEIÇOAMENTO DO SISTEMA ÚNICO DE SAÚDE (SUS),8535 - ESTRUTURAÇÃO DE UNIDADES DE ATENÇÃO ESPECIALIZADA EM SAÚDE,7776 - CONSTRUÇÃO DO HOSPITAL DE REABILITAÇÃO - NO MUNICÍPIO DE ARAGUAÍNA - TO,S,4,40,RECURSOS ORDINARIOS,100 - RECURSOS ORDINARIOS,16831872,16831872,0,0,0,0,0,0,2015,APERFEIÇOAMENTO DO SISTEMA ÚNICO DE SAÚDE (SUS),8535,0000 - ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE - DESPESAS DIVERSAS,02PW,"0713- GARANTIR ACESSO DA POPULAÇÃO A SERVIÇOS DE QUALIDADE, COM EQUIDADE E EM TEMPO ADEQUADO AO ATENDIMENTO DAS NECESSIDADES DE SAÚDE, APRIMORANDO A POLÍTICA DE ATENÇÃO BÁSICA E A ATENÇÃO ESPECIALIZADA.","02PW-REORDENAMENTO DA ATENÇÃO ESPECIALIZADA VISANDO À INTEGRALIDADE DE ATENÇÃO, ASSIM COMO AMPLIAÇÃO DA ATENÇÃO PRIMÁRIA E ESPECIALIZADA EM REDES DE ATENÇÃO À SAÚDE, COM QUALIFICAÇÃO DAS PRÁTICAS E DA GESTÃO DO CUIDADO, BUSCANDO ASSEGURAR RESOLUTIVIDADE"
LOA2014 - Despesa Execução,2014/11/22 00:00:00,NO,TO,ARAGUAÍNA,02 - SAÚDE,MINISTÉRIO DA SAÚDE,36000 - MINISTÉRIO DA SAÚDE,FUNDO NACIONAL DE SAÚDE,36901 - FUNDO NACIONAL DE SAÚDE,10.305.2015.20YJ.7006,10 - SAÚDE,305 - VIGILÂNCIA EPIDEMIOLÓGICA,2015 - APERFEIÇOAMENTO DO SISTEMA ÚNICO DE SAÚDE (SUS),20YJ - SISTEMA NACIONAL DE VIGILÂNCIA EM SAÚDE,7006 - CENTRO DE ZOONOSES - NO MUNICÍPIO DE ARAGUAÍNA - TO,S,3,40,RECURSOS ORDINARIOS,100 - RECURSOS ORDINARIOS,1000000,1000000,0,0,0,0,0,0,2015,APERFEIÇOAMENTO DO SISTEMA ÚNICO DE SAÚDE (SUS),20YJ,0000 - SISTEMA NACIONAL DE VIGILANCIA EM SAUDE - DESPESAS DIVERSAS,02Q5,"0714- REDUZIR OS RISCOS E AGRAVOS À SAÚDE DA POPULAÇÃO, POR MEIO DAS AÇÕES DE PROMOÇÃO E VIGILÂNCIA EM SAÚDE.",02Q5-FORTALECIMENTO DA PROMOÇÃO E DA VIGILÂNCIA EM SAÚDE
LOA2014 - Despesa Execução,2014/11/22 00:00:00,NO,TO,ARAGUAÍNA,02 - SAÚDE,MINISTÉRIO DA SAÚDE,36000 - MINISTÉRIO DA SAÚDE,FUNDO NACIONAL DE SAÚDE,36901 - FUNDO NACIONAL DE SAÚDE,10.305.2015.20YJ.7006,10 - SAÚDE,305 - VIGILÂNCIA EPIDEMIOLÓGICA,2015 - APERFEIÇOAMENTO DO SISTEMA ÚNICO DE SAÚDE (SUS),20YJ - SISTEMA NACIONAL DE VIGILÂNCIA EM SAÚDE,7006 - CENTRO DE ZOONOSES - NO MUNICÍPIO DE ARAGUAÍNA - TO,S,4,40,RECURSOS ORDINARIOS,100 - RECURSOS ORDINARIOS,1000000,1000000,0,0,0,0,0,0,2015,APERFEIÇOAMENTO DO SISTEMA ÚNICO DE SAÚDE (SUS),20YJ,0000 - SISTEMA NACIONAL DE VIGILANCIA EM SAUDE - DESPESAS DIVERSAS,02Q5,"0714- REDUZIR OS RISCOS E AGRAVOS À SAÚDE DA POPULAÇÃO, POR MEIO DAS AÇÕES DE PROMOÇÃO E VIGILÂNCIA EM SAÚDE.",02Q5-FORTALECIMENTO DA PROMOÇÃO E DA VIGILÂNCIA EM SAÚDE
LOA2014 - Despesa Execução,2014/11/22 00:00:00,NO,TO,BRASILÂNDIA DO TOCANTINS,"04 - EDUCAÇÃO, CULTURA, CIÊNCIA E TECNOLOGIA E ESPORTE",MINISTÉRIO DO ESPORTE,51000 - MINISTÉRIO DO ESPORTE,MINISTÉRIO DO ESPORTE,51101 - MINISTÉRIO DO ESPORTE,27.812.2035.5450.0435,27 - DESPORTO E LAZER,812 - DESPORTO COMUNITÁRIO,2035 - ESPORTE E GRANDES EVENTOS ESPORTIVOS,"5450 - IMPLANTAÇÃO E MODERNIZAÇÃO DE INFRAESTRUTURA PARA ESPORTE EDUCACIONAL, RECREATIVO E DE LAZER",0435 - NO MUNICÍPIO DE BRASILÂNDIA DO TOCANTINS - TO,F,4,40,RECURSOS ORDINARIOS,100 - RECURSOS ORDINARIOS,600000,585000,585000,0,0,0,0,0,2035,ESPORTE E GRANDES EVENTOS ESPORTIVOS,5450,"0000 - IMPLANTACAO E MODERNIZACAO DE INFRAESTRUTURA PARA ESPORTE EDUCACIONAL, RECREATIVO E DE LAZER",02I2,"0669- AMPLIAR E QUALIFICAR O ACESSO DA POPULAÇÃO AO ESPORTE E AO LAZER, POR MEIO DE ARTICULAÇÕES INTERSETORIAIS, PROMOVENDO A CIDADANIA, A INCLUSÃO SOCIAL E A QUALIDADE DE VIDA.","02I2-IMPLANTAÇÃO DE ESPAÇOS E EQUIPAMENTOS DE ESPORTE E DE LAZER, GARANTINDO POLÍTICAS DE ACESSIBILIDADE, GESTÃO E MANUTENÇÃO DA INFRAESTRUTURA (PRAÇAS DA JUVENTUDE, ACADEMIAS AO AR LIVRE, QUADRAS, GINÁSIOS)"
LOA2014 - Despesa Execução,2014/11/22 00:00:00,NO,TO,BRASILÂNDIA DO TOCANTINS,"04 - EDUCAÇÃO, CULTURA, CIÊNCIA E TECNOLOGIA E ESPORTE",MINISTÉRIO DO ESPORTE,51000 - MINISTÉRIO DO ESPORTE,MINISTÉRIO DO ESPORTE,51101 - MINISTÉRIO DO ESPORTE,27.812.2035.5450.0435,27 - DESPORTO E LAZER,812 - DESPORTO COMUNITÁRIO,2035 - ESPORTE E GRANDES EVENTOS ESPORTIVOS,"5450 - IMPLANTAÇÃO E MODERNIZAÇÃO DE INFRAESTRUTURA PARA ESPORTE EDUCACIONAL, RECREATIVO E DE LAZER",0435 - NO MUNICÍPIO DE BRASILÂNDIA DO TOCANTINS - TO,F,4,90,RECURSOS ORDINARIOS,100 - RECURSOS ORDINARIOS,0,15000,15000,0,0,0,0,0,2035,ESPORTE E GRANDES EVENTOS ESPORTIVOS,5450,"0000 - IMPLANTACAO E MODERNIZACAO DE INFRAESTRUTURA PARA ESPORTE EDUCACIONAL, RECREATIVO E DE LAZER",02I2,"0669- AMPLIAR E QUALIFICAR O ACESSO DA POPULAÇÃO AO ESPORTE E AO LAZER, POR MEIO DE ARTICULAÇÕES INTERSETORIAIS, PROMOVENDO A CIDADANIA, A INCLUSÃO SOCIAL E A QUALIDADE DE VIDA.","02I2-IMPLANTAÇÃO DE ESPAÇOS E EQUIPAMENTOS DE ESPORTE E DE LAZER, GARANTINDO POLÍTICAS DE ACESSIBILIDADE, GESTÃO E MANUTENÇÃO DA INFRAESTRUTURA (PRAÇAS DA JUVENTUDE, ACADEMIAS AO AR LIVRE, QUADRAS, GINÁSIOS)"
