Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40,Column 41,Column 42
1.0,N,AC,1200401.0,RIO BRANCO,Promotorias Especializadas/Núcleos de Gênero do MP,Promotorias Especializadas/Núcleos de Gênero do MP,13ª Promotoria de Justiça Especializada no Combate a Violência Doméstica e Familiar contra a Mulher - Rio Branco,6832232224; 6832221502,dfranco@mp.ac.gov.br,"Travessa Campo do Rio Branco, nº 162",Capoeira,6.9905022E7,Dulce Helena de Freitas Franco,NÃO INFORMADO,"de segunda a sexta-feira, das 8h às 15h.",CONFERIDO,AGOSTO,2014-07-24T00:00:00Z,2010-10-14T00:00:00Z,2010.0,"Denúncias, tudo referente à violência e processos.",SIM,NÃO,SIM,Atendimento aos menores de idade que   se encaixarem na lei Maria da penha,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO,SIM,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,Márcia Maciel  - Analista Processual ,Juliana,2014-08-05T00:00:00Z,
2.0,N,AC,1200401.0,RIO BRANCO,Núcleos/Defensórias Especializados de Atendimento à Mulher,Núcleos/Defensórias Especializados de Atendimento à Mulher,Núcleo Especializado em Atendimento à Mulher Vítima de Violência Doméstica – Rio Branco,6832230745; 6832238317; fax 6832230318 ,defensoriageral@ac.gov.br,"Rua Custódio Freire, nº 26",Bosque,6.9900553E7,D.rª Vânia Dias - Defensora e D.r Daniel Faria - Defensor ,NÃO INFORMADO,"de segunda a sexta-feira, das 8h às 12h.",ALTERADO - DADOS,AGOSTO,2014-07-25T00:00:00Z,NÃO INFORMADO,2009.0,"Acompanhamento das vitimas, orientação sobre medidas protetivas.",SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,NÃO,SIM,Há um defensor das vítimas e um defensor para o acusado. ,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SIM,A juíza de vara de violência doméstica encaminha o agressor para secretaria de justiça dos direitos humanos. ,LEVANTAMENTO REALIZADO COM SUCESSO,Wenderson Vale do Nascimento/Estagiário.,Juliana,2014-08-05T00:00:00Z,
3.0,N,AC,1200203.0,CRUZEIRO DO SUL,Promotorias Especializadas/Núcleos de Gênero do MP,Promotorias Especializadas/Núcleos de Gênero do MP,Núcleo de Combate a Violência Doméstica e Familiar Contra a Mulher - Cruzeiro do Sul ,(68)3322-4165 ,NÃO INFORMADO,"Rua Siqueira Campos, nº 356 Referência: Próximo ao Posto de Saúde",Alumínio,69980-000,Coordenador Wagner de Figueiredo ,NÃO INFORMADO,de segunda a sexta-feira das 8h às 15h ,INSERIDO,AGOSTO,2014-07-24T00:00:00Z,NÃO INFORMADO,NÃO INFORMADO,"Acompanhamento das vitimas, orientação sobre medidas protetivas.",SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,NÃO,"Trabalha um grupo com relação de documentos e equipe de psicólogos assistentes sociais, conscientização da violência e responsabilização do ato do agressor orientação jurídica ao agressor.",LEVANTAMENTO REALIZADO COM SUCESSO,"Obs. Em contato em  em 24 de Julho de 2014 com Tatiana Barbosa - Assistente Social informou que o serviço teve Retorno desde Novembro de 2012 que voltou a funcionar , pois estava desativado é Vinculado ao Ministério Público.",Juliana,2014-08-05T00:00:00Z,
4.0,NE,AL,2704302.0,MACEIÓ,Promotorias Especializadas/Núcleos de Gênero do MP,Promotorias Especializadas/Núcleos de Gênero do MP,Núcleo de Defesa da Mulher do Ministério Público do Estado de Alagoas (NUDEMP) - Maceió,(82)2122-3705 ,nudemp@mp.al.gov.br ,Rua Augusto Cardoso s/nº,Japiuca,57035- 860,Hylsa Paiva Torres de Castro - Coordenadora,(82)9111-3935,"de segunda a sexta-feira, das 8h às 13h30min.",NÃO ATUALIZADO ,AGOSTO,2014-08-06T00:00:00Z,2012-03-01T00:00:00Z,2012.0,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,SEM ESPECIFICAÇÃO,NÃO INFORMADO,NÃO INFORMADO,SEM ESPECIFICAÇÃO ,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,SEM ESPECIFICAÇÃO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,SEM ESPECIFICAÇÃO,NÃO CONSEGUIU ENTRAR EM CONTATO COM A PESSOA SOLICITADA,"Obs. Contato com com Maria José Alves da Silva  - Promotora de Justiça, em 06/08/2014, solicitou repassar as informações via e-mail  Juliana",Juliana ,2014-08-05T00:00:00Z,
5.0,NE,AL,2704302.0,MACEIÓ,Núcleos/Defensórias Especializados de Atendimento à Mulher,Núcleos/Defensórias Especializados de Atendimento à Mulher,Núcleo de Defesa dos Direitos da Mulher (NUDEM) - Maceió  ,(82)2126-9668 ,npmdefensoria.al@gmail.com / nucleodedefesa@hotmail.com,"Praça do Visconde de Sinimbu, nº 119 ",Centro,57020-120 ,NÃO INFORMADO ,(82)2126-9670,de segunda a sexta-feira das  8h às 13h30min.,CONFERIDO,AGOSTO,2014-07-31T00:00:00Z,NÃO INFORMADO,2012.0,Atendimento jurídico e assistência psicológica,SIM,NÃO,SIM,"Atendimento a Familiares envolvidos, filhos com apoio psicológico e encaminhamentos necessários.",SIM,NÃO,SEM ESPECIFICAÇÃO ,NÃO,SIM,SIM,SEM ESPECIFICAÇÃO,SIM,NÃO,SIM,"Dentro da defensoria tem um núcleo de atendimento do homem em processo de família, homem que está em conflito doméstico e familiar. ",LEVANTAMENTO REALIZADO COM SUCESSO,"Daniela Times de Ribeiro de Souza  - Defensora Pública
",Juliana ,2014-08-05T00:00:00Z,
6.0,N,AP,1600303.0,MACAPÁ,Promotorias Especializadas/Núcleos de Gênero do MP,Promotorias Especializadas/Núcleos de Gênero do MP,Promotoria de Justiça de Defesa da Mulher - Macapá,"(96)3198-1748 
(96)3198-1749",caopmuher@mp.ap.gov.br,"Avenida Padre Júlio Maria Lombardi, n° 1570",Centro,6.890003E7,Alessandra Moro de Carvalho,NÃO INFORMADO,"De segunda a sexta-feira, das 8h às 14h.",NÃO ATUALIZADO ,AGOSTO,2014-07-24T00:00:00Z,NÃO INFORMADO,2009.0,AGUARDANDO E-MAIL.,AGUARDANDO E-MAIL,AGUARDANDO E-MAIL.,AGUARDANDO E-MAIL.,AGUARDANDO E-MAIL.,AGUARDANDO E-MAIL.,AGUARDANDO E-MAIL.,SEM ESPECIFICAÇÃO,AGUARDANDO E-MAIL.,AGUARDANDO E-MAIL.,AGUARDANDO E-MAIL.,AGUARDANDO E-MAIL.,AGUARDANDO E-MAIL.,AGUARDANDO E-MAIL.,AGUARDANDO E-MAIL.,AGUARDANDO E-MAIL.,NÃO CONSEGUIU ENTRAR EM CONTATO COM A PESSOA SOLICITADA,AGUARDANDO E-MAIL.,PATRICIA DIAS,2014-08-05T00:00:00Z,
7.0,N,AP,1600600.0,SANTANA,Promotorias Especializadas/Núcleos de Gênero do MP,Promotorias Especializadas/Núcleos de Gênero do MP,Promotoria de Justiça de Defesa da Mulher - Santana,"(96)3281-7253
(96)3281-7256",defmulher@mpap.mp.br,"Rua B1, nº 40",Vila Amazonas,68925-000,Nilson Alves Costa,NÃO INFORMADO,"De segunda a sexta-feira, das 8h às 14h.",CONFERIDO,AGOSTO,2014-07-24T00:00:00Z,NÃO INFORMADO,2012.0,"Orientação psicológica, assessoria jurídica na área criminal (Lei Maria da Penha, crimes e infrações penais), civil (medidas protetivas) e apura denúncias contra agressores, serviços e descumprimento das medidas protetivas. ",SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO,SIM,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,Alzira Nogueira da Silva/Analista Ministerial (assistente social),PATRICIA DIAS,2014-08-05T00:00:00Z,
8.0,N,AP,1600303.0,MACAPÁ,Núcleos/Defensórias Especializados de Atendimento à Mulher,Núcleos/Defensórias Especializados de Atendimento à Mulher,Projeto de Defesa e Proteção dos Direitos da Mulher - Macapá,"(96)3131-2772 
(96)3131-2750 ",tetysimoes@yahoo.com.br,"Rua Eliezer Levy, s/nº",Centro,6.890005E7,Emmanuelle Aguiar de Oliveira,NÃO INFORMADO,"Segunda a sexta-feira, das 7h30min às 13h30min. ",ALTERADO - DADOS,AGOSTO,2014-07-31T00:00:00Z,NÃO INFORMADO,2002.0,"Assessoria jurídica na área criminal (Lei Maria da Penha, crimes e infrações penais), civil (medidas protetivas). ",SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,SIM,SEM ESPECIFICAÇÃO,SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,Terezinha Costa Simões - Secretária,PATRICIA DIAS,2014-08-05T00:00:00Z,
9.0,N,AM,1302603.0,MANAUS,Núcleos/Defensórias Especializados de Atendimento à Mulher,Núcleos/Defensórias Especializados de Atendimento à Mulher,Núcleo de Atendimento Especializado à Mulher (NAEM) - Manaus ,(92)3232-1356 ,NÃO INFORMADO,"Avenida Presidente Kennedy, nº 399 - Referência: Ao Lado da Escola Estadual Diana Pinheiro ",Colônia Oliveira Machado,69074-000 ,Miguel Henrique Tinoco de Alencar,NÃO INFORMADO,"De segunda a sexta-feira, das 8h às 14h.",CONFERIDO,AGOSTO,2014-07-30T00:00:00Z,NÃO INFORMADO,2009.0,"Defender as mulheres vitimas de violência doméstica e familiar e atendem também na área civel. Acordos em relação a pensão alimentícia, alvará judicial, separações e ações referentes a familia.",SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO ,SIM,NÃO,SEM ESPECIFICAÇÃO ,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO ,LEVANTAMENTO REALIZADO COM SUCESSO,Maria Geni da Silva Mendes,PATRICIA DIAS,2014-08-07T00:00:00Z,
10.0,NE,BA,2927408.0,SALVADOR,Promotorias Especializadas/Núcleos de Gênero do MP,Promotorias Especializadas/Núcleos de Gênero do MP,Promotoria de Justiça de Combate a Violência Doméstica - Salvador,(71)3328-1551  (71)3328-1195 ,gedem@mpba.mp.br ,"Rua Conselheiro Espínola, nº 77",Barris,40070-130,Sara Gama Sampaio,NÃO INFORMADO,"de segunda a sexta-feira, das 8h às 12h e das 14h às 18h.",ALTERADO - DADOS,AGOSTO,2014-08-05T00:00:00Z,NÃO INFORMADO,NÃO INFORMADO,"Orientação psicológica. 
Assessoria jurídica na área criminal (Lei Maria da Penha, Crimes e infrações penais), na área civil: medidas protetivas. Encaminha mulheres para outros serviços: casa abrigo, CEAM, etc.1.3.  Oferece denúncia contra agressores
Apuração de denúncias sobre descumprimento de medidas protetivas e sobre serviços.

",SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,"Ani Maria dos Santos Sacramento Neves.
Assistente técnica administrativa.
",Maria Mônica,2014-08-05T00:00:00Z,
